"SYMBOL 
","ISSUE PRICE 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE ","52W H 
","52W L 
","30D   %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"SGBJUN27","-","-","-","-","6,233.67","6,269.00","35.33","0.57","-","-","6,450.00","5,200.00",-1.04,"02-Mar-2023","15.67","02-Feb-2024"
"SGBDE31III","-","6,255.00","6,255.00","6,255.00","6,245.19","6,255.00","9.81","0.16","9","56,295.00","6,277.99","6,021.00","-","-","-","-"
"SGBJAN30IX","-","-","-","-","6,237.85","6,245.00","7.15","0.11","-","-","6,444.00","5,241.05",0.41,"03-Mar-2023","18.37","02-Feb-2024"
"SGBSEP29VI","-","-","-","-","6,279.15","6,284.89","5.74","0.09","-","-","6,468.54","5,230.00",0.29,"03-Mar-2023","19.12","02-Feb-2024"
"SGBDE30III","-","-","-","-","6,225.56","6,229.99","4.43","0.07","-","-","6,571.00","5,300.00",-1.02,"03-Mar-2023","17.06","02-Feb-2024"
"SGBJU29III","-","-","-","-","6,221.25","6,225.00","3.75","0.06","-","-","6,400.00","5,240.00",-0.62,"03-Mar-2023","18.56","02-Feb-2024"
"SGBSEP28VI","-","-","-","-","6,264.75","6,268.67","3.92","0.06","-","-","6,446.87","5,244.00",-0.67,"03-Mar-2023","18.66","02-Feb-2024"
"SGBFEB29XI","-","-","-","-","6,238.12","6,240.00","1.88","0.03","-","-","6,474.90","5,210.00",-0.6,"03-Mar-2023","18.78","02-Feb-2024"
"SGBMAR31IV","-","-","-","-","6,285.20","6,287.00","1.80","0.03","-","-","6,390.00","5,500.00",-0.09,"-","-","02-Feb-2024"
"SGBJUN31I","-","6,250.00","6,250.00","6,250.00","6,248.88","6,250.00","1.12","0.02","4","25,000.00","6,350.00","5,750.00",-0.96,"-","-","02-Feb-2024"
"SGBJUN29II","-","-","-","-","6,224.55","6,225.00","0.45","0.01","-","-","6,370.00","5,240.00",-0.15,"03-Mar-2023","18.47","02-Feb-2024"
"SGBMAY28","-","-","-","-","6,225.11","6,225.00","-0.11","-","-","-","6,387.90","5,240.50",-0.47,"03-Mar-2023","18.59","02-Feb-2024"
"SGBJAN26","2,831.00","-","-","-","6,200.28","6,200.00","-0.28","-","-","-","6,704.00","5,373.00",-0.8,"01-Mar-2023","14.82","02-Feb-2024"
"SGBNOV25","2,884.00","-","-","-","6,191.00","6,191.00","-","-","-","-","6,497.90","5,425.00",-0.63,"03-Mar-2023","13.18","01-Feb-2024"
"SGBDEC2513","2,816.00","-","-","-","6,255.00","6,255.00","-","-","-","-","6,450.00","5,440.00",-1.81,"02-Mar-2023","15.30","31-Jan-2024"
"SGBNOV26","3,133.00","-","-","-","6,200.00","6,200.00","-","-","-","-","6,450.00","5,316.00",-1.04,"02-Mar-2023","14.84","02-Feb-2024"
"SGBNOV25IX","2,914.00","-","-","-","6,225.00","6,225.00","-","-","-","-","6,398.26","5,420.00",-0.56,"02-Mar-2023","13.80","02-Feb-2024"
"SGBDEC25","2,911.00","-","-","-","6,201.00","6,201.00","-","-","-","-","6,867.99","5,425.00","-","02-Mar-2023","14.30","-"
"SGBSEP27","-","-","-","-","6,260.00","6,260.00","-","-","-","-","6,369.40","5,300.00",-0.48,"03-Mar-2023","18.00","02-Feb-2024"
"SGBOCT27","-","-","-","-","6,329.00","6,329.00","-","-","-","-","6,575.00","5,262.12",0.7,"03-Mar-2023","20.07","02-Feb-2024"
"SGBOCT27VI","-","-","-","-","6,265.00","6,265.00","-","-","-","-","6,390.00","5,275.51",0.64,"03-Mar-2023","18.21","02-Feb-2024"
"SGBDC27VII","-","-","-","-","6,223.00","6,223.00","-","-","-","-","6,550.00","5,255.01",-1.94,"03-Mar-2023","18.04","02-Feb-2024"
"SGBFEB28IX","-","-","-","-","6,195.00","6,195.00","-","-","-","-","6,574.00","5,210.00",-1.35,"01-Mar-2023","17.55","31-Jan-2024"
"SGBJUL28IV","-","-","-","-","6,235.00","6,235.00","-","-","-","-","6,349.98","5,205.00",-0.2,"03-Mar-2023","18.71","02-Feb-2024"
"SGBAUG28V","-","-","-","-","6,224.94","6,225.00","0.06","-","-","-","6,450.00","5,282.00",-1.42,"03-Mar-2023","17.82","02-Feb-2024"
"SGBJ28VIII","-","-","-","-","6,230.00","6,230.00","-","-","-","-","6,369.99","5,250.00",-0.47,"03-Mar-2023","17.57","02-Feb-2024"
"SGBMAR28X","-","-","-","-","6,257.98","6,257.99","0.01","-","-","-","6,397.00","5,258.00",-0.74,"03-Mar-2023","18.95","02-Feb-2024"
